code	name	city	country	latlng	yaid
AKX	Актобе	Актобе	kz	50.247014196,57.1843793616	9623835
VOZ	Чертовицкое	Воронеж	ru	51.8129599508,39.2265897812	2014000
BZK	Брянск	Брянск	ru	53.2120589098,34.1830076017	9623363
VOG	Гумрак	Волгоград	ru	48.7808256753,44.3657976227	9600177
HTA	Кадала	Чита	ru	52.026389,113.305556	9629849
	Краснокаменск	Краснокаменск	ru	50.03204,118.061522	9804699
	Чара	Чара	ru	56.9051996467,118.251609904	9623656
KGD	Храброво	Калининград	ru	54.8919756591,20.5832328523	9631119
ODO	Бодайбо	Бодайбо	ru	57.8467157832,114.174794633	9623687
BTK	Братск	Братск	ru	56.370556,101.698333	9623543
ERG	Ербогачен	Ербогачен	ru	61.278740569,108.014426892	9623899
	Железногорск-Илимский	Железногорск-Илимский	ru	56.485441,104.106969	9808965
IKT	Иркутск	Иркутск	ru	52.272734,104.353271	9600174
	Казачинское	Казачинское	ru	56.276997,107.567776	9805987
KCK	Киренск	Киренск	ru	57.788846287,108.09684732	9623688
	Мама	Мама	ru	58.3133536104,112.89061909	9623812
	Нижнеудинск	Нижнеудинск	ru	54.8947536577,99.0633015705	9808076
UIK	Усть-Илимск	Усть-Илимск	ru	58.133333,102.55	9632436
UKX	Усть-Кут	Усть-Кут	ru	56.85,105.733333	9623689
PKC	Елизово	Петропавловск-Камчатский	ru	53.1713463251,158.433869942	9627206
	Никольское	Никольское	ru	55.1775258033,166.047419787	9821765
	Озёрная		ru	51.4994105823,156.538999233	9624036
	Оссора	Оссора	ru	59.2292430376,163.066227199	9624030
	Соболево	Соболево	ru	54.304340461,155.967717976	9624031
	Тигиль	Тигиль	ru	57.7811757589,158.719363237	9624032
	Тиличики	Тиличики	ru	60.429166818,166.050702995	9624033
	Усть-Камчатск	Усть-Камчатск	ru	56.2381141439,162.688198136	9821766
	Усть-Хайрюзово	Усть-Хайрюзово	ru	57.1004955751,156.737657444	9624037
IWA	Иваново	Иваново	ru	56.9422492818,40.968414134	9600176
KIV	Кишинёв	Кишинёв	md	46.9349040985,28.9332800307	9623535
KVX	Победилово	Киров	ru	58.497223,49.34678	9600181
KMW	Кострома	Кострома	ru	57.807613,41.013327	9600178
	Байкит	Байкит	ru	61.68170556,96.3598281268	9623685
	Ванавара	Ванавара	ru	60.356383703,102.315256661	9623846
	Горный	Тура	ru	64.3320863376,100.433360562	9600400
DKS	Диксон	Диксон	ru	73.517778,80.378889	9623909
KJA	Емельяново	Красноярск	ru	56.173056,92.493333	9600376
IAA	Игарка	Игарка	ru	67.433333,86.633333	9623632
	Кодинск	Кодинск	ru	58.4788650974,99.1040396919	9623885
NSK	Норильск	Норильск	ru	69.311111,87.332222	9600385
	Подкаменная Тунгуска	Подкаменная Тунгуска	ru	61.578291535,90.1003323868	9623809
	Светлогорск	Светлогорск	ru	66.9365572431,88.3902444207	9634213
	Северо-Енисейск	Северо-Енисейск	ru	60.3733096057,93.0140500117	9623843
	Туруханск	Туруханск	ru	65.7938116211,87.9574989988	9623678
HTG	Хатанга	Хатанга	ru	71.966667,102.5	9623668
	Черемшанка	Красноярск	ru	56.1752512328,92.5347028323	9600377
URS	Восточный	Курск	ru	51.7451688961,36.3305021536	9623388
KEJ	Кемерово	Кемерово	ru	55.27,86.107222	2028000
